Sex,XYZ,Img_Path,Model,Img_Prediction,Age,Blur,Emotion,Device_Timestamp,Colours,Objects,Text,Time,Face_Recog,Date,Device_Make,Num_Faces,GPS
,"[9.357179, 3.4187074, 2.152015]",../p06_2013-12-03/2013-12-03_11.16.06.jpg,ZTE-BLADE,[],,35.32312951,,2002:12:08 12:00:00,"['#b27a51', '#716f77', '#c8c7d3', '#2c1e25', '#b49f94']",['keyboard'],,11:16:06,[],03/12/2013,ZTE,0,"[54.6706105, -5.9286735]"
,"[9.00305, -0.7082581, -3.7728362]",../p06_2013-12-03/2013-12-03_10.10.38.jpg,ZTE-BLADE,[],,88.72788741,,2002:12:08 12:00:00,"['#8c888c', '#a3a4b1', '#7d7271', '#645a5b', '#21171c']",[],"Tiree A ASAT AALS een, ; |TT eaadddhed Pee vemos",10:10:38,[],03/12/2013,ZTE,0,"[54.6706105, -5.9286735]"
,"[7.913422, 1.0760075, -5.039529]",../p06_2013-12-03/2013-12-03_11.01.36.jpg,ZTE-BLADE,[],,14.62630833,,2002:12:08 12:00:00,"['#3a2b30', '#bdb6b8', '#635455', '#999395', '#787276']",[],,11:01:36,[],03/12/2013,ZTE,0,"[54.6706105, -5.9286735]"
,"[9.357179, 0.35412905, -2.6968288]",../p06_2013-12-03/2013-12-03_11.08.06.jpg,ZTE-BLADE,[],,215.3891074,,2002:12:08 12:00:00,"['#49241f', '#9c7e67', '#bde5f8', '#79a1c4', '#c6a284']",['bottle'],"Feats premses Daca rarslere betroen ie 4 Sooure varemanon prsocols (HTTPS). [Any cotected paperwor, 86h a8, a renearcnars in nacre iocked accordance win Univer poise, towing We reinvant ine frame of 2X SIRS Ta key any fara copes ntormaton. Tia wal nechve ‘redding paperwork, which will then be disposed off appropriately. FESSEOY JOE Ey Septiay wa wiped rom nervers x ial storage parton Copyright © Rawr puthission been granted 19 use ot copyright materials. Including dfeentarnaves and enter inevumama7 vee b/ CopyTyN Materials wveasog roonades Hg RaNLaE MEVUMEHIA? Yes [x] Nol] (3) Nol—] Ito, pease provia the reaton Jv No, pasue prose na teseos. 1 { Yau Fave lal is fom you shoul ass conte form GTA er Ns D esenreiniod 3t0 Ete cba d Mikguegma'alnclaun REA for ailealogory research RGte both category B iin ey‘eberis pabip 10 tenes Kuv Woy ped og EH ‘iswydonide yo parodep oq Ua pA WouR ""oweded ‘en Auy om BALL “OTEUO|UA fo Bordon Bury Aue hasee. Sea ewes ouy yrermer out Bujwopeh ""SOOO AR! ‘oj pasrb 6 vogrunens snoweved fyu0 $8 EO] Oa BAL ip Aewonun 04 ve fq parse Pu parsezco £2 BH Se: caren [as] EY |toieeved pve @ AloSeye> 10930) ©} w ite RS RU ea Bciblontanersteduesenremaenetur scent re : =e | Rerincmiar sre or Fly Fe sk pee oes miei uote ‘ oun Eeleunanul gua Pus wastes Topney ejoseyu Wouldea ye wane peje Ueay. verre teM weccaet WuDKE03 “Fh ms ‘murpes paorbai vogruuiopa nowryed ext Ave se WI ence PERISA et oe sey Coron euep so) pes wep ‘AavenbesvoD URTRUET Je seefetsenun maa 12701 UA PeLEIe VEE pero anes ou WARE Fees perborca eq bee sare caved #8 vane wwomusced Feng Ary {ga Lin) ecient vorwuavea ances on eynus wm eves eaves pur ovousunat we weeneed ATL TS ewe eb rrtt ct Aa ratence Aus Ba Bue Sm SNS DBL Scr eroes peueress Bm wet BUENO OL WAST wouaee Oca teewep eeyaven Areuoumd coed Peet od orcas fqu9 wIReTEAR OPE Frooesed isan 1d 00808 ae) wlnected buch as questonnaires colected stored UY ey pacore eked sate locaied 1627 at Universty Seeequendy, cata used data minng turer eee Tn 82 onty behaviour informaton Is required (a ceva",11:08:06,[],03/12/2013,ZTE,0,"[54.6706105, -5.9286735]"
,"[9.357179, 3.7728362, 1.7978859]",../p06_2013-12-03/2013-12-03_09.57.06.jpg,ZTE-BLADE,[],,98.51893562,,2002:12:08 12:00:00,"['#1a1418', '#6d3627', '#a57357', '#e7b89b', '#bdd1e2']","['person', 'keyboard']",cScS,09:57:06,[],03/12/2013,ZTE,0,"[54.6706105, -5.9286735]"
,"[9.901993, 0.53119355, 1.6208214]",../p06_2013-12-03/2013-12-03_10.26.39.jpg,ZTE-BLADE,[],,106.6128504,,2002:12:08 12:00:00,"['#181013', '#683125', '#a2acb9', '#d5a996', '#926752']",['tv'],"Fre dates can bs fhe ure restriction ia ast belare end of March and boy chowen date needs to ft wth schon calends bt | Hor tex that be 8 protien The hadirg i moiny proved cover iafl trained run the event but some money may ued or resources. wad hope ta using tres software. Trade te Yeor 11 students wha dont have ary previous programing experience. ita would expose Sustents yng GEE Cai 191058 fin programming. At A Level SSO wii an level _avalable option for this Year group. vculd me wse resources from training day repeat app develepment seston phen Bat 1 development course google developer should Improve my knowleda simplest ur idea ola cherry might worth exploring ts jst woud need help spy alua natabe software We Mowever, lam attending ‘Thanks your promet reply. = — ae RL ROE Downloads fogkmarks History Seuinas eo in2 rts TOS eee cn ante Peis sadojannp de aySo08 Bunn auunea weudorarap Sée Asp Te RapuITAe SEL 1.0} aus 39) 89 PIMOM LOIS BIE 2 0} avemajos argeara 9q one hous 14 9Ppayeouy Aas aArC.L| PINOT HN PUR. soy nur pos prom Le ""Dasa yun og His Ge Anal « po €9p sno rg van Von wonuoanap at Eada) Pus Aep Ronen mit SO yrosal oy) os wee pe OFF RAN V sv nanos ry noms 01 Lamas 3039 Alen NU pTES Bus BsOdrD 0) aq POM wap Syl “aUIURETS Peni prosaasd Ave Bay 100 CUM FEARS samnoipamed hue a Rape |in Pinca mon) sounnes Arowyy —_ SArEUIAOOH —-1PROWCD Renin pop gunk MO alle. bet > saath ibs voor iemyor ogene 9g oe An 1""atpaya ul svcd peg nl pus sadoavap dde food Ren pune weuroatay St Ts PSTN TS sq mice poss ved ra ""Raporo yim ag Ha Ode vain @ p20 Vg vos wondojangp 1eads) Pu ARP ‘Saute ah wos sazunosa! By) asn o1 aul 19} LORSS ENSAES AAL Seru8 209, 21 29) UO ASEEEAE vee ng ns Wy Rawat ey uot Lae? 39 Aalons USPS SUK Brora 61 99 PPoM Sy) saUadee ReuuleUPos mapas Ace ‘aay 1UOp OM FIED TT sE2A 20] PPP AM ALL avenge vay Donn 9961 sd0y pein s2smonas Jj poun oq hea Lavo MSN 1g AAD BGA Ui PUY PASI #9 O} EH 2809 OI PIPES ESS Ra sired & Rog sgh 109 94 DURE ON eM B81 Spam BED UaEOND Aue put DUNO Ps BHojag WN NEN RAPADY SETS er mvp MLjm "" od 2m with schock calersdat tar't see beg probler, naa who deci any prevoss programering \ea stating GCSE chert ome pagraenng. LewelSSD waive jowever, tam Mi Thanks",10:26:39,[],03/12/2013,ZTE,0,"[54.6706105, -5.9286735]"
,"[9.724928, 0.53119355, 3.5957718]",../p06_2013-12-03/2013-12-03_11.58.37.jpg,ZTE-BLADE,[],,16.4202956,,2002:12:08 12:00:00,"['#613e2c', '#706260', '#371f19', '#120d0e', '#94a0b4']","['person', 'person']",,11:58:37,[],03/12/2013,ZTE,0,"[54.6783189, -5.9125666]"
,"[9.180115, -0.35412905, -3.050958]",../p06_2013-12-03/2013-12-03_10.57.05.jpg,ZTE-BLADE,[],,9.051532906,,2002:12:08 12:00:00,"['#5f4741', '#241919', '#a4938b', '#7e6d69', '#d2beb2']",['person'],,10:57:05,[],03/12/2013,ZTE,0,"[54.6706105, -5.9286735]"
,"[9.00305, -0.17706452, -3.9499009]",../p06_2013-12-03/2013-12-03_11.13.36.jpg,ZTE-BLADE,[],,4.500791117,,2002:12:08 12:00:00,"['#e7dfd9', '#383a40', '#a79ba2', '#16191e', '#6d6c77']",[],,11:13:36,[],03/12/2013,ZTE,0,"[54.6706105, -5.9286735]"
,"[8.635301, 0.7082581, -4.4947147]",../p06_2013-12-03/2013-12-03_10.15.08.jpg,ZTE-BLADE,[],,81.6606388,,2002:12:08 12:00:00,"['#2b2021', '#69625e', '#a1a1ab', '#e4e4ed', '#867e7c']",[],,10:15:08,[],03/12/2013,ZTE,0,"[54.6706105, -5.9286735]"
