Sex,XYZ,Img_Path,Model,Img_Prediction,Age,Blur,Emotion,Device_Timestamp,Colours,Objects,Text,Time,Face_Recog,Date,Device_Make,Num_Faces,GPS
,"[9.724928, -1.4301366, 2.6968288]",../p04_2013-12-02/2013-12-02_12.09.49.jpg,ZTE-BLADE,[],,6.663007072,,2002:12:08 12:00:00,"['#0e0e12', '#232429', '#696868', '#6d747c', '#06070c']",[],"3 ‘i ? ae aa e ""iraca J 4 : ss F fi ~",12:09:49,[],02/12/2013,ZTE,0,"[54.6783053, -5.9125879]"
,"[9.724928, -0.17706452, 3.050958]",../p04_2013-12-02/2013-12-02_11.10.48.jpg,ZTE-BLADE,[],,7.242038085,,2002:12:08 12:00:00,"['#34333d', '#65666c', '#0f1119', '#72819d', '#a0b5ce']",[],,11:10:48,[],02/12/2013,ZTE,0,"[54.6883035, -5.8810163]"
,"[9.00305, -0.53119355, 3.4187074]",../p04_2013-12-02/2013-12-02_12.14.18.jpg,ZTE-BLADE,[],,9.388764999,,2002:12:08 12:00:00,"['#0d1015', '#6e7781', '#738daa', '#1d1c1f', '#494b50']",[],,12:14:18,[],02/12/2013,ZTE,0,"[54.6783053, -5.9125879]"
,"[9.357179, -0.35412905, 3.5957718]",../p04_2013-12-02/2013-12-02_11.58.18.jpg,ZTE-BLADE,[],,7.055522532,,2002:12:08 12:00:00,"['#0c0b12', '#707881', '#2a2a33', '#6a6b6e', '#758396']",[],f,11:58:18,[],02/12/2013,ZTE,0,"[54.6783053, -5.9125879]"
['Male'],"[9.534244, 1.6208214, -1.9749504]",../p04_2013-12-02/2013-12-02_12.21.48.jpg,ZTE-BLADE,[],['4-6'],59.58441802,['Surprise'],2002:12:08 12:00:00,"['#c6c8db', '#796d6d', '#6d4434', '#978c95', '#24191d']",[],,12:21:48,"[array([-1.36682600e-01,  2.49127164e-01,  4.80405800e-02, -6.48503527e-02,
       -1.73079342e-01,  3.35024670e-04, -8.77284557e-02, -8.99908841e-02,
        1.34017959e-01,  1.64116435e-02,  2.53502578e-01,  3.66028361e-02,
       -2.21149832e-01, -3.88466604e-02, -2.65632458e-02,  1.38647363e-01,
       -1.71669856e-01, -8.24606493e-02, -1.15270443e-01, -7.09735751e-02,
        4.18473594e-02,  3.94290276e-02, -2.40601841e-02,  2.86783800e-02,
       -1.74130023e-01, -2.98467427e-01, -5.45715913e-02, -7.50782341e-02,
        9.46839228e-02, -1.15865387e-01,  1.61082372e-02, -1.36264367e-02,
       -1.64160147e-01, -9.81367230e-02,  7.90420845e-02,  4.91381809e-02,
       -6.27119914e-02, -1.89247057e-02,  1.80526525e-01,  7.75072277e-02,
       -1.17319122e-01,  9.92314965e-02,  5.66329136e-02,  3.19558382e-01,
        2.27698445e-01,  3.59604880e-02,  8.79991278e-02, -1.36101723e-01,
        9.69478860e-02, -2.81937033e-01,  3.94947529e-02,  1.88229978e-01,
        1.40609741e-01,  7.09319115e-02,  1.10137433e-01, -1.20375417e-01,
       -1.28898472e-02,  1.80990562e-01, -2.61130363e-01,  1.61118925e-01,
        1.03663698e-01, -2.66194567e-02, -7.68136978e-02, -8.75068977e-02,
        2.10904658e-01,  1.21598706e-01, -1.91770762e-01, -1.05395846e-01,
        7.21196532e-02, -1.40825525e-01, -6.62559271e-02,  6.86962381e-02,
       -6.22259676e-02, -2.14059711e-01, -2.89508522e-01,  9.19044912e-02,
        3.99892658e-01,  2.08058476e-01, -2.81139821e-01, -7.10222572e-02,
       -6.17200509e-02, -7.04941154e-02,  3.43727544e-02,  6.65921643e-02,
       -1.07899472e-01, -1.05077386e-01, -4.21921276e-02,  3.63194197e-02,
        2.03269631e-01, -5.29322214e-03,  6.33622110e-02,  3.28378707e-01,
        6.30318075e-02,  4.34366241e-03, -4.54905704e-02,  9.32143778e-02,
       -1.89166754e-01, -8.66257772e-02, -6.19150326e-02, -8.02848190e-02,
        2.67340592e-03, -1.02149643e-01,  4.79371101e-02,  1.12407759e-01,
       -1.86084896e-01,  1.58476561e-01, -3.49159129e-02, -2.71758549e-02,
       -3.93353701e-02, -2.50842012e-02, -5.62334433e-02, -5.24200238e-02,
        2.00962469e-01, -2.25150049e-01,  2.25594744e-01,  2.29758024e-01,
       -1.84720177e-02,  7.03548342e-02,  1.08757637e-01,  1.75003577e-02,
        2.89703608e-02,  4.92840633e-03, -1.63666308e-02, -8.00819919e-02,
       -1.81658808e-02, -1.41318411e-01,  2.06292719e-02, -4.43461575e-02])]",02/12/2013,ZTE,1,"[54.6706544, -5.9286238]"
,"[9.534244, -0.53119355, 3.5957718]",../p04_2013-12-02/2013-12-02_11.46.18.jpg,ZTE-BLADE,[],,12.28177388,,2002:12:08 12:00:00,"['#6d676a', '#06080c', '#afc1dc', '#151415', '#373a42']",[],,11:46:18,[],02/12/2013,ZTE,0,"[54.6706544, -5.9286238]"
,"[9.357179, -0.35412905, -2.152015]",../p04_2013-12-02/2013-12-02_12.42.48.jpg,ZTE-BLADE,[],,15.1455292,,2002:12:08 12:00:00,"['#424246', '#dfe7eb', '#1f1f22', '#999aa3', '#717077']",[],,12:42:48,[],02/12/2013,ZTE,0,"[54.68795654, -5.88288574]"
,"[9.534244, -0.17706452, 3.4187074]",../p04_2013-12-02/2013-12-02_12.06.18.jpg,ZTE-BLADE,[],,7.384434429,,2002:12:08 12:00:00,"['#636467', '#06080f', '#6b7481', '#252a32', '#0e0f16']",[],,12:06:18,[],02/12/2013,ZTE,0,"[54.6783053, -5.9125879]"
,"[9.534244, 0.17706452, 3.4187074]",../p04_2013-12-02/2013-12-02_11.02.48.jpg,ZTE-BLADE,[],,9.479664582,,2002:12:08 12:00:00,"['#3a3c45', '#74737b', '#090a10', '#acc6e3', '#6b6566']",[],,11:02:48,[],02/12/2013,ZTE,0,"[54.6883035, -5.8810163]"
,"[9.534244, 0.35412905, 3.4187074]",../p04_2013-12-02/2013-12-02_11.37.18.jpg,ZTE-BLADE,[],,7.646741419,,2002:12:08 12:00:00,"['#23262f', '#03060e', '#5f5f66', '#0b0c14', '#4f4e51']",[],~ gaa... eal,11:37:18,[],02/12/2013,ZTE,0,"[54.6783053, -5.9125879]"
