Sex,XYZ,Img_Path,Model,Img_Prediction,Age,Blur,Emotion,Device_Timestamp,Colours,Objects,Text,Time,Face_Recog,Date,Device_Make,Num_Faces,GPS
,"[8.635301, -2.5197644, -3.050958]",../p01_2013-12-02/2013-12-02_09.46.44.jpg,ZTE-BLADE,[],,67.96140971,,2002:12:08 12:00:00,"['#8c7870', '#a4a5b4', '#151114', '#4c382e', '#6b5d4f']",[],,09:46:44,[],02/12/2013,ZTE,0,"[0.0, 0.0]"
,"[8.458236, -1.6208214, -4.4947147]",../p01_2013-12-02/2013-12-02_11.51.14.jpg,ZTE-BLADE,[],,85.09360375,,2002:12:08 12:00:00,"['#bbc2d2', '#928c8a', '#54423e', '#171419', '#6c5c56']",[],,11:51:14,[],02/12/2013,ZTE,0,"[0.0, 0.0]"
,"[9.180115, -2.5197644, -2.5197644]",../p01_2013-12-02/2013-12-02_11.19.44.jpg,ZTE-BLADE,[],,123.1547547,,2002:12:08 12:00:00,"['#635b5a', '#4e3e3a', '#8e7c7b', '#b3b1bc', '#161318']",[],,11:19:44,[],02/12/2013,ZTE,0,"[0.0, 0.0]"
,"[9.357179, -1.6208214, -2.152015]",../p01_2013-12-02/2013-12-02_12.03.14.jpg,ZTE-BLADE,[],,143.697408,,2002:12:08 12:00:00,"['#141013', '#8b7772', '#483631', '#695a51', '#989aa5']",['tv'],> i ~ | agpa BOL OF esa OL NOD WON _— GS) mi% 13 ry li,12:03:14,[],02/12/2013,ZTE,0,"[0.0, 0.0]"
,"[7.913422, -0.0, 5.761407]",../p01_2013-12-02/2013-12-02_11.07.44.jpg,ZTE-BLADE,[],,13.96940327,,2002:12:08 12:00:00,"['#876354', '#2e1e1d', '#a48c8b', '#f2f2f5', '#4d3e3f']",[],,11:07:44,[],02/12/2013,ZTE,0,"[0.0, 0.0]"
,"[8.458236, -1.9749504, -3.5957718]",../p01_2013-12-02/2013-12-02_09.45.15.jpg,ZTE-BLADE,[],,38.80560791,,2002:12:08 12:00:00,"['#736d6e', '#1d161b', '#8d94aa', '#5a4338', '#fefdfd']",[],,09:45:15,[],02/12/2013,ZTE,0,"[0.0, 0.0]"
,"[9.00305, -0.7082581, -1.4301366]",../p01_2013-12-02/2013-12-02_09.58.44.jpg,ZTE-BLADE,[],,7.166863123,,2002:12:08 12:00:00,"['#4d302a', '#0a0404', '#797784', '#efeef4', '#64555d']",[],,09:58:44,[],02/12/2013,ZTE,0,"[0.0, 0.0]"
,"[7.913422, -3.5957718, -3.7728362]",../p01_2013-12-02/2013-12-02_11.32.14.jpg,ZTE-BLADE,[],,73.59538881,,2002:12:08 12:00:00,"['#2c212a', '#928a85', '#fdfdfd', '#63524c', '#a9b1c3']",[],,11:32:14,[],02/12/2013,ZTE,0,"[0.0, 0.0]"
,"[8.458236, -1.9749504, -4.3176503]",../p01_2013-12-02/2013-12-02_11.43.14.jpg,ZTE-BLADE,[],,77.93330228,,2002:12:08 12:00:00,"['#554440', '#1a1420', '#695c5a', '#918c8d', '#cbd3e1']",[],,11:43:14,[],02/12/2013,ZTE,0,"[0.0, 0.0]"
,"[7.3822284, 0.89894295, -5.938472]",../p01_2013-12-02/2013-12-02_09.54.44.jpg,ZTE-BLADE,[],,56.7640077,,2002:12:08 12:00:00,"['#928f97', '#151318', '#e4f1fb', '#6d6261', '#524441']",[],seg sta \WEMAstabnre Acos WT tase en,09:54:44,[],02/12/2013,ZTE,0,"[0.0, 0.0]"
