Sex,XYZ,Img_Path,Model,Img_Prediction,Age,Blur,Emotion,Device_Timestamp,Colours,Objects,Text,Time,Face_Recog,Date,Device_Make,Num_Faces,GPS
,"[9.180115, 0.7082581, 2.152015]",../p03_2013-12-02/2013-12-02_10.50.23.jpg,ZTE-BLADE,[],,33.17442342,,2002:12:08 12:00:00,"['#756b69', '#aea6ac', '#161621', '#938a87', '#cfc3cc']",['book'],"aff fiacce ; , 7 s : as af « sucrerg>e ft 43573 preciess ccoremteterns eared Ties prt applicant i< bo —er errs se ensgarnec iv qceoeerccacrt chalices™ cxaorsicder= a in << gon ant “= rt ecxsrmnpict< genct? a” rervee cs b «> 3 pce* wc hacvessese OO? eee prure cp pawy CP aase “ce >; ese §* OEP ES ELEI ESR PSS aT FBOVOVS SLAVE SS> ose QeooSourn> Ce ack VASO yD~yo sigs ree on DAOO™ AVS acs A Ut pee eeuaezee* >ypeture mI »ase>c ~ Bot uy «(8 potetu> TeseIs SE -o prarer SS LF TEE SO FR BELO enc u acest etn TS et ASS pecaws An > 4 he SR ea eeu x yee Reseek * Aess saa wat Oe 3S rave pected PERSP ERS EHL HLS aNSS sn es PS SSS YEN moe ee woes oot QIOese LSS PEACHES ae ™ FBO ¥YO oe o> DBAOD NS AWN NRESE ques XM <Oorys= <<>> e7uat AAS Sky ADO L"" Laayo =o ws «6S Seu RSA ' AS sacs 4"" <s >uyeees PP 2a ius. 12S wp peteter prurer PSE EPL SELL ILS aetoocses ‘ - ’ <isese* ats v . eo fe rey ead <4 tes 88 = saccerg>e <a xewerut eoxcaresictecrcdt s<t €Ie Laoc>ti« igi aS tec beFD eae tee z. fr uort i™ tie< ance eps NSS ts ~iussz aot Ae re oT <oce soo xs Dros «ar <op>t st <—« wasters a3 art a* svapict< gervee",10:50:23,[],02/12/2013,ZTE,0,"[54.68834602, -5.88106476]"
,"[9.180115, 0.53119355, 1.9749504]",../p03_2013-12-02/2013-12-02_10.37.53.jpg,ZTE-BLADE,[],,45.81255726,,2002:12:08 12:00:00,"['#121218', '#918374', '#beb9bf', '#605b5a', '#9c9aa0']",['book'],espe Of epeite : pfaae efeett et httte peaeesed #4,10:37:53,[],02/12/2013,ZTE,0,"[54.68834602, -5.88106476]"
,"[9.180115, 1.253072, 2.3290794]",../p03_2013-12-02/2013-12-02_11.09.55.jpg,ZTE-BLADE,[],,20.17782911,,2002:12:08 12:00:00,"['#111115', '#606676', '#5885c1', '#393f57', '#bca590']",['laptop'],,11:09:55,[],02/12/2013,ZTE,0,"[54.68834602, -5.88106476]"
,"[9.180115, -0.17706452, 1.7978859]",../p03_2013-12-02/2013-12-02_10.29.53.jpg,ZTE-BLADE,[],,13.11061163,,2002:12:08 12:00:00,"['#95a4ad', '#747577', '#948b7d', '#0f172d', '#565f6c']",[],,10:29:53,[],02/12/2013,ZTE,0,"[54.68834602, -5.88106476]"
,"[8.458236, 0.35412905, 3.9499009]",../p03_2013-12-02/2013-12-02_10.33.23.jpg,ZTE-BLADE,[],,5.579700621,,2002:12:08 12:00:00,"['#70633d', '#b1c6ee', '#817553', '#a0b6dc', '#8c8678']",[],,10:33:23,[],02/12/2013,ZTE,0,"[54.68834602, -5.88106476]"
,"[9.180115, -0.35412905, 2.152015]",../p03_2013-12-02/2013-12-02_10.56.56.jpg,ZTE-BLADE,[],,15.54327488,,2002:12:08 12:00:00,"['#c7bec5', '#918883', '#161621', '#a59fa4', '#6e6463']",['book'],‘md mete),10:56:56,[],02/12/2013,ZTE,0,"[54.68834602, -5.88106476]"
,"[9.724928, 0.35412905, 2.3290794]",../p03_2013-12-02/2013-12-02_12.49.55.jpg,ZTE-BLADE,[],,34.16501573,,2002:12:08 12:00:00,"['#1a191f', '#929a98', '#613534', '#606880', '#8b99bd']","['person', 'person']",,12:49:55,[],02/12/2013,ZTE,0,"[54.68772895, -5.883186275000001]"
,"[9.357179, -0.53119355, 1.9749504]",../p03_2013-12-02/2013-12-02_11.50.54.jpg,ZTE-BLADE,[],,12.62716033,,2002:12:08 12:00:00,"['#b58a67', '#82573e', '#18141b', '#8bb0d8', '#602e17']",['person'],ee Be alTT at ed il da> *@ yo ‘ Sata) HIE Teg,11:50:54,[],02/12/2013,ZTE,0,"[54.68834602, -5.88106476]"
,"[9.00305, 0.35412905, 2.8738933]",../p03_2013-12-02/2013-12-02_10.58.53.jpg,ZTE-BLADE,[],,10.70410856,,2002:12:08 12:00:00,"['#3e3839', '#888083', '#746d6e', '#5d5555', '#0f0e10']",[],$ 5 ##- s a oy se ~ ie oft aie . “ were cen tie eS! nS A OT AE‘ my + — > eiZz a*Z ' 2 i ve J OS é ese raesicneigse ace Se eeer eon ’ : SO ee oe ae,10:58:53,[],02/12/2013,ZTE,0,"[54.68834602, -5.88106476]"
,"[9.357179, -0.89894295, 0.53119355]",../p03_2013-12-02/2013-12-02_12.34.55.jpg,ZTE-BLADE,[],,38.24276159,,2002:12:08 12:00:00,"['#131215', '#2d3c43', '#aeacb9', '#ba5038', '#6f5856']",[],,12:34:55,[],02/12/2013,ZTE,0,"[54.687659249999996, -5.883054383333334]"
,"[9.180115, -0.0, 2.152015]",../p03_2013-12-02/2013-12-02_10.31.26.jpg,ZTE-BLADE,[],,6.675770952,,2002:12:08 12:00:00,"['#859ab7', '#494757', '#17151a', '#a0bccf', '#5a6c8e']",[],,10:31:26,[],02/12/2013,ZTE,0,"[54.68834602, -5.88106476]"
